Name,id,Label
San Francisco,Q62,"consolidated city and county in California, United States"
Philadelphia,Q1345,"largest city in Pennsylvania, United States"
Boston,Q100,"capital and largest city of Massachusetts, United States"
Los Angeles,Q65,"largest city in California, United States of America"
Denver,Q16554,"capital and largest city of Colorado, United States"
New York City,Q60,most populous city in the United States
Everywhere,Q5418171,1987 single by Fleetwood Mac
Wilmington,Q174224,"city in and county seat of New Castle County, Delaware, United States"
Austin,Q16559,"capital city of Texas, United States"
San Diego,Q16552,"city in San Diego County, California, United States; second-largest city in California"
London,Q84,capital and largest city of the United Kingdom
Santa Clara,Q159260,"city in Santa Clara County, California, United States"
San Mateo,Q169943,"city in San Mateo County, California, United States"
Brooklyn,Q18419,"borough of New York City, New York, United States"
Milpitas,Q927510,"city in Santa Clara County, California, United States"
Campbell,Q2665383,family name
Palo Alto,Q47265,"city in Santa Clara County, California, United States"
Detroit,Q12439,"city in and county seat of Wayne County, Michigan, United States"
San Francisco,Q62,"consolidated city and county in California, United States"
Helsinki,Q1757,capital and most populous city of Finland
Boca Raton,Q29422,"city in Palm Beach County, Florida, United States"
Netanya,Q192225,city in Israel
Toronto,Q172,"capital and largest city of the province of Ontario, Canada"
Royal Borough of Greenwich,Q693450,royal borough in the London Region in England
South Burlington,Q26065,"city in Chittenden County, Vermont, United States"
Southern,Q1258373,train operating company in the United Kingdom
Orlando,Q49233,"city in and county seat of Orange County, Florida, United States"
Burlingame,Q986867,"city in San Mateo County, California, United States"
Santa Monica,Q47164,"beachfront city in Los Angeles County, California, United States"
Redwood City,Q505549,"city in San Mateo County, California, United States"
Columbus,Q16567,"capital city of Ohio, USA"
Scottsdale,Q49221,"city in Maricopa County, Arizona, United States"
Miami,Q8652,"city in Miami-Dade County, Florida, United States"
Dallas,Q16557,"city in Texas, United States"
Fresno,Q43301,"county seat of Fresno County, California, United States"
Ra'anana,Q309164,city in Israel
Mountain View,Q486860,"city in Santa Clara County, California, United States"
Tel Aviv,Q33935,city in Israel
"University of California, Irvine",Q868421,"public research university in Irvine, California, United States"
Vernier,Q63922,"municipality in the canton Geneve, Switzerland"
Seattle,Q5083,"city in and county seat of King County, Washington, United States"
Torrance,Q489197,"city in Los Angeles County, California, United States"
Abu Dhabi,Q1519,capital city of the United Arab Emirates
Bangalore,Q1355,"city in Karnataka, India"
Oakland,Q17042,"city and county seat of Alameda County, California, United States"
Culver City,Q493378,"city in Los Angeles County, California, United States"
Amsterdam,Q727,capital and most populous city of the Netherlands
Tampa,Q49255,"city in Florida, United States"
Bellevue,Q214164,"city in the Eastside region of King County, Washington, United States"
West End,Q460735,district of Central London
Sydney,Q3130,"capital city of New South Wales, Australia"
Jersey City,Q26339,"city in New Jersey, United States"
Santa Barbara,Q159288,"city in California, United States"
Las Vegas,Q23768,"city and county seat of Clark County, Nevada, United States"
Brisbane,Q34932,"capital city of Queensland, Australia"
Nashville,Q23197,"consolidated city-county in Davidson County, Tennessee, United States, and the state capital of Tennessee"
Croix,Q239091,"commune in Nord, France"
Stamford,Q49169,"city in Fairfield County, Connecticut, United States"
Arlington County,Q107126,"county in Virginia, United States; part of Washington metropolitan area"
Zürich,Q72,"capital of the canton of Zürich, Switzerland"
Lehi,Q1010595,"city in Utah County, Utah, United States"
Singapore,Q334,sovereign island country and city-state in maritime Southeast Asia
Burlington,Q31058,"city in Chittenden County, Vermont, United States"
Tempe,Q51685,"city in Maricopa County, Arizona, United States"
Oulu,Q47048,city in the region of Northern Ostrobothnia in Finland
Baltimore,Q5092,"city in Maryland, United States"
